timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772684005703,8606,resources,200,OK,Thread Group 1-6,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,259,0,130
1772684005703,259,resources-0,301,Moved Permanently,Thread Group 1-6,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,259,0,130
1772684005962,361,resources-1,301,Moved Permanently,Thread Group 1-6,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,361,0,230
1772684006323,7986,resources-2,200,OK,Thread Group 1-6,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,506,0,0
1772684008982,6524,resources,200,OK,Thread Group 1-7,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,134,0,0
1772684008982,134,resources-0,301,Moved Permanently,Thread Group 1-7,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,134,0,0
1772684009116,131,resources-1,301,Moved Permanently,Thread Group 1-7,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,131,0,0
1772684009247,6259,resources-2,200,OK,Thread Group 1-7,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,425,0,0
1772684006065,11173,simpli,200,OK,Thread Group 1-2,text,true,,532187,242,10,10,https://www.simplilearn.com/,119,0,0
1772684006065,119,simpli-0,301,Moved Permanently,Thread Group 1-2,text,true,,569,121,10,10,http://www.simplilearn.com/,119,0,0
1772684006184,11054,simpli-1,200,OK,Thread Group 1-2,text,true,,531618,121,10,10,https://www.simplilearn.com/,516,0,0
1772684008371,9369,training,200,OK,Thread Group 1-4,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,130,0,0
1772684008371,130,training-0,301,Moved Permanently,Thread Group 1-4,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,130,0,0
1772684008501,126,training-1,301,Moved Permanently,Thread Group 1-4,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,126,0,0
1772684008627,9113,training-2,200,OK,Thread Group 1-4,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,418,0,0
1772684004939,13568,training,200,OK,Thread Group 1-10,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,136,0,0
1772684004939,136,training-0,301,Moved Permanently,Thread Group 1-10,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,136,0,0
1772684005075,126,training-1,301,Moved Permanently,Thread Group 1-10,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,126,0,0
1772684005202,13305,training-2,200,OK,Thread Group 1-10,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,449,0,0
1772684008798,10930,simpli,200,OK,Thread Group 1-8,text,true,,532187,242,10,10,https://www.simplilearn.com/,242,0,125
1772684008798,242,simpli-0,301,Moved Permanently,Thread Group 1-8,text,true,,569,121,10,10,http://www.simplilearn.com/,242,0,125
1772684009040,10688,simpli-1,200,OK,Thread Group 1-8,text,true,,531618,121,10,10,https://www.simplilearn.com/,546,0,262
1772684013051,6836,resources,200,OK,Thread Group 1-3,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,117,0,0
1772684013051,117,resources-0,301,Moved Permanently,Thread Group 1-3,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,117,0,0
1772684013169,127,resources-1,301,Moved Permanently,Thread Group 1-3,text,true,,452,131,10,10,https://www.simplilearn.com/resources/,127,0,0
1772684013297,6590,resources-2,200,OK,Thread Group 1-3,text,true,,311025,130,10,10,https://www.simplilearn.com/resources,360,0,0
1772684014201,7939,simpli,200,OK,Thread Group 1-9,text,true,,532187,242,10,10,https://www.simplilearn.com/,251,0,126
1772684014201,251,simpli-0,301,Moved Permanently,Thread Group 1-9,text,true,,569,121,10,10,http://www.simplilearn.com/,251,0,126
1772684014452,7688,simpli-1,200,OK,Thread Group 1-9,text,true,,531618,121,10,10,https://www.simplilearn.com/,885,0,258
1772684010279,12891,training,200,OK,Thread Group 1-1,text,true,,551487,419,10,10,https://www.simplilearn.com/corporate-training,243,0,124
1772684010279,243,training-0,301,Moved Permanently,Thread Group 1-1,text,true,,588,140,10,10,http://www.simplilearn.com/corporate-training/,243,0,124
1772684010522,121,training-1,301,Moved Permanently,Thread Group 1-1,text,true,,996,140,10,10,https://www.simplilearn.com/corporate-training/,121,0,0
1772684010643,12527,training-2,200,OK,Thread Group 1-1,text,true,,549903,139,10,10,https://www.simplilearn.com/corporate-training,991,0,0
1772684017237,6605,resources,200,OK,Thread Group 1-2,text,true,,312056,392,10,10,https://www.simplilearn.com/resources,253,0,127
1772684017237,253,resources-0,301,Moved Permanently,Thread Group 1-2,text,true,,579,131,10,10,http://www.simplilearn.com/resources/,253,0,127
